legacy_id,legacy_slug,common_name,new_slug,new_product_url,new_image_folder
lainac,acoma-crapemyrtle,Acoma Crapemyrtle,acoma-crapemyrtle,product.html?id=acoma-crapemyrtle,images/products/acoma-crapemyrtle/
hyqual,alice-hydrangea,Alice Hydrangea,alice-hydrangea,product.html?id=alice-hydrangea,images/products/alice-hydrangea/
bxseam,american-boxwood,American Boxwood,american-boxwood,product.html?id=american-boxwood,images/products/american-boxwood/
diviam,american-persimmon,American Persimmon,american-persimmon,product.html?id=american-persimmon,images/products/american-persimmon/
malian,ann-magnolia,ANN Magnolia,ann-magnolia,product.html?id=ann-magnolia,images/products/ann-magnolia/
hyabab,annabelle-hydrangea,Annabelle Hydrangea,annabelle-hydrangea,product.html?id=annabelle-hydrangea,images/products/annabelle-hydrangea/
hyabab-h-to-g,annabelle-hydrangea,Annabelle Hydrangea,annabelle-hydrangea-2,product.html?id=annabelle-hydrangea-2,images/products/annabelle-hydrangea-2/
prnuxx,armking-nectarine,Armking nectarine,armking-nectarine,product.html?id=armking-nectarine,images/products/armking-nectarine/
prpenuak,armking-nectarine,Armking nectarine,armking-nectarine-2,product.html?id=armking-nectarine-2,images/products/armking-nectarine-2/
assian-beauty-berry,asian-beauty-berry,Asian Beauty Berry,asian-beauty-berry,product.html?id=asian-beauty-berry,images/products/asian-beauty-berry/
pycoba,bartlett-pear,Bartlett pear,bartlett-pear,product.html?id=bartlett-pear,images/products/bartlett-pear/
prpebg,belle-of-georgia-peach,Belle of Georgia Peach,belle-of-georgia-peach,product.html?id=belle-of-georgia-peach,images/products/belle-of-georgia-peach/
budabk,black-knight-butterfly-bush,Black Knight Butterfly Bush,black-knight-butterfly-bush,product.html?id=black-knight-butterfly-bush,images/products/black-knight-butterfly-bush/
caxbm,blue-mist,Blue Mist,blue-mist,product.html?id=blue-mist,images/products/blue-mist/
abgrcc,canyon-creek,Canyon Creek,canyon-creek,product.html?id=canyon-creek,images/products/canyon-creek/
losemw,cardinal-red-honeysuckle,Cardinal Red Honeysuckle,cardinal-red-honeysuckle,product.html?id=cardinal-red-honeysuckle,images/products/cardinal-red-honeysuckle/
lainca,catawba-crapemyrtle,Catawba Crapemyrtle,catawba-crapemyrtle,product.html?id=catawba-crapemyrtle,images/products/catawba-crapemyrtle/
laincs,centenial-spirit,Centenial Spirit,centenial-spirit,product.html?id=centenial-spirit,images/products/centenial-spirit/
laincd,cherry-dazzle-crapemyrtle,Cherry Dazzle Crapemyrtle,cherry-dazzle-crapemyrtle,product.html?id=cherry-dazzle-crapemyrtle,images/products/cherry-dazzle-crapemyrtle/
vimacs,chinese-snowball-viburnum,Chinese snowball Viburnum,chinese-snowball-viburnum,product.html?id=chinese-snowball-viburnum,images/products/chinese-snowball-viburnum/
prpeco,contender-peach,Contender Peach,contender-peach,product.html?id=contender-peach,images/products/contender-peach/
spjacr,crispa,Crispa,crispa,product.html?id=crispa,images/products/crispa/
gajada,daisy-gardenia,Daisy Gardenia,daisy-gardenia,product.html?id=daisy-gardenia,images/products/daisy-gardenia/
bxsedr,dee-runk-boxwood,Dee Runk Boxwood,dee-runk-boxwood,product.html?id=dee-runk-boxwood,images/products/dee-runk-boxwood/
laindf,double-feature-crapemyrtle,Double Feature Crapemyrtle,double-feature-crapemyrtle,product.html?id=double-feature-crapemyrtle,images/products/double-feature-crapemyrtle/
fgga,dwarf-fothergilla,Dwarf Fothergilla,dwarf-fothergilla,product.html?id=dwarf-fothergilla,images/products/dwarf-fothergilla/
laindy,dynamite-crapemyrtle,Dynamite Crapemyrtle,dynamite-crapemyrtle,product.html?id=dynamite-crapemyrtle,images/products/dynamite-crapemyrtle/
cecarb,eastern-redbud,Eastern Redbud,eastern-redbud,product.html?id=eastern-redbud,images/products/eastern-redbud/
abgreg,edward-goucher,Edward Goucher,edward-goucher,product.html?id=edward-goucher,images/products/edward-goucher/
prpeeb,elberta-peach,Elberta Peach,elberta-peach,product.html?id=elberta-peach,images/products/elberta-peach/
thocem,emerald-arborvitae,EMERALD ARBORVITAE,emerald-arborvitae,product.html?id=emerald-arborvitae,images/products/emerald-arborvitae/
bxsesu,english-edging-boxwood,English Edging Boxwood,english-edging-boxwood,product.html?id=english-edging-boxwood,images/products/english-edging-boxwood/
bxsefa,fastigiata-boxwood,Fastigiata Boxwood,fastigiata-boxwood,product.html?id=fastigiata-boxwood,images/products/fastigiata-boxwood/
prpefg,florida-glo-peach,Florida Glo Peach,florida-glo-peach,product.html?id=florida-glo-peach,images/products/florida-glo-peach/
fgmama,fothergilla-mt-airy,Fothergilla Mt. Airy,fothergilla-mt-airy,product.html?id=fothergilla-mt-airy,images/products/fothergilla-mt-airy/
gajafp,frost-proof-gardenia,Frost Proof Gardenia,frost-proof-gardenia,product.html?id=frost-proof-gardenia,images/products/frost-proof-gardenia/
ml-fuji,fuji-apple,Fuji Apple,fuji-apple,product.html?id=fuji-apple,images/products/fuji-apple/
dikafu,fuyu-persimmon,Fuyu Persimmon,fuyu-persimmon,product.html?id=fuyu-persimmon,images/products/fuyu-persimmon/
ml-gala,gala-apple,Gala Apple,gala-apple,product.html?id=gala-apple,images/products/gala-apple/
maxga,galaxy-magnolia,GALAXY Magnolia,galaxy-magnolia,product.html?id=galaxy-magnolia,images/products/galaxy-magnolia/
lefogr,garad-s-rainbow,Garad's Rainbow,garad-s-rainbow,product.html?id=garad-s-rainbow,images/products/garad-s-rainbow/
spbugf,gold-flame,Gold Flame,gold-flame,product.html?id=gold-flame,images/products/gold-flame/
spjagm,gold-mound,Gold Mound,gold-mound,product.html?id=gold-mound,images/products/gold-mound/
ml-gold-d,golden-delicious,Golden Delicious,golden-delicious,product.html?id=golden-delicious,images/products/golden-delicious/
kejagg,golden-guinea-kerria,Golden Guinea Kerria,golden-guinea-kerria,product.html?id=golden-guinea-kerria,images/products/golden-guinea-kerria/
ml-gs,granny-smith,Granny Smith,granny-smith,product.html?id=granny-smith,images/products/granny-smith/
bxmigb,green-beauty,Green Beauty,green-beauty,product.html?id=green-beauty,images/products/green-beauty/
bxxgg,green-gem,Green Gem,green-gem,product.html?id=green-gem,images/products/green-gem/
thxgg,green-giant-arborvitae,GREEN GIANT ARBORVITAE,green-giant-arborvitae,product.html?id=green-giant-arborvitae,images/products/green-giant-arborvitae/
bxxgm,green-mountain,Green Mountain,green-mountain,product.html?id=green-mountain,images/products/green-mountain/
bxxgv,green-velvet,Green Velvet,green-velvet,product.html?id=green-velvet,images/products/green-velvet/
cailhp,harty-pecan,Harty Pecan,harty-pecan,product.html?id=harty-pecan,images/products/harty-pecan/
itvihg,henry-s-garnet-itea,Henry's Garnet Itea,henry-s-garnet-itea,product.html?id=henry-s-garnet-itea,images/products/henry-s-garnet-itea/
lainho,hopi-crapemyrtle,Hopi Crapemyrtle,hopi-crapemyrtle,product.html?id=hopi-crapemyrtle,images/products/hopi-crapemyrtle/
clalhb,humming-bird-clethra,Humming Bird Clethra,humming-bird-clethra,product.html?id=humming-bird-clethra,images/products/humming-bird-clethra/
bxsein,inglis-boxwood,Inglis Boxwood,inglis-boxwood,product.html?id=inglis-boxwood,images/products/inglis-boxwood/
malija,jane-magnolia,JANE Magnolia,jane-magnolia,product.html?id=jane-magnolia,images/products/jane-magnolia/
acpaat,japanese-red-maple,Japanese Red Maple,japanese-red-maple,product.html?id=japanese-red-maple,images/products/japanese-red-maple/
vixju,juddii-viburnum,Juddii Viburnum,juddii-viburnum,product.html?id=juddii-viburnum,images/products/juddii-viburnum/
bxsijb,justin-brouwers,Justin Brouwers,justin-brouwers,product.html?id=justin-brouwers,images/products/justin-brouwers/
pycoke,kiefer-pear,Kiefer pear,kiefer-pear,product.html?id=kiefer-pear,images/products/kiefer-pear/
bxsiko,korean,Korean,korean,product.html?id=korean,images/products/korean/
hypall,limelight-hydrangea,Limelight Hydrangea,limelight-hydrangea,product.html?id=limelight-hydrangea,images/products/limelight-hydrangea/
spjalp,little-princes,Little Princes,little-princes,product.html?id=little-princes,images/products/little-princes/
