product_id,product_name,primary_image,gallery_image_2,gallery_image_3,seed_image_used,replace_folder,license_source,source_url,notes
lainac,Acoma Crapemyrtle,images/products/lainac/main.jpg,images/products/lainac/alt-1.jpg,images/products/lainac/alt-2.jpg,images/Trees/LA/LAinAC_L.jpg,images/products/lainac/,,,Replace with commercially licensed images as needed.
hyqual,Alice Hydrangea,images/products/hyqual/main.jpg,images/products/hyqual/alt-1.jpg,images/products/hyqual/alt-2.jpg,images/Shrubs/Flowering/HY/HYquAL_L.jpg,images/products/hyqual/,,,Replace with commercially licensed images as needed.
bxseam,American Boxwood,images/products/bxseam/main.jpg,images/products/bxseam/alt-1.jpg,images/products/bxseam/alt-2.jpg,images/Shrubs/Evergreen/BX/BXseAM_L.jpg,images/products/bxseam/,,,Replace with commercially licensed images as needed.
diviam,American Persimmon,images/products/diviam/main.jpg,images/products/diviam/alt-1.jpg,images/products/diviam/alt-2.jpg,images/Trees/DI/DIviAM.jpg,images/products/diviam/,,,Replace with commercially licensed images as needed.
malian,ANN Magnolia,images/products/malian/main.jpg,images/products/malian/alt-1.jpg,images/products/malian/alt-2.jpg,images/Trees/MA/MAliAN_L.jpg,images/products/malian/,,,Replace with commercially licensed images as needed.
hyabab,Annabelle Hydrangea,images/products/hyabab/main.jpg,images/products/hyabab/alt-1.jpg,images/products/hyabab/alt-2.jpg,images/Shrubs/Flowering/HY/HYabAB_L.jpg,images/products/hyabab/,,,Replace with commercially licensed images as needed.
hyabab-h-to-g,Annabelle Hydrangea,images/products/hyabab-h-to-g/main.jpg,images/products/hyabab-h-to-g/alt-1.jpg,images/products/hyabab-h-to-g/alt-2.jpg,images/Shrubs/Flowering/HY/HYabAB_L.jpg,images/products/hyabab-h-to-g/,,,Replace with commercially licensed images as needed.
prnuxx,Armking nectarine,images/products/prnuxx/main.jpg,images/products/prnuxx/alt-1.jpg,images/products/prnuxx/alt-2.jpg,images/Trees/PR/PRnuNE_L.jpg,images/products/prnuxx/,,,Replace with commercially licensed images as needed.
prpenuak,Armking nectarine,images/products/prpenuak/main.jpg,images/products/prpenuak/alt-1.jpg,images/products/prpenuak/alt-2.jpg,images/Trees/PR/PRnuNE_L.jpg,images/products/prpenuak/,,,Replace with commercially licensed images as needed.
assian-beauty-berry,Asian Beauty Berry,images/products/assian-beauty-berry/main.jpg,images/products/assian-beauty-berry/alt-1.jpg,images/products/assian-beauty-berry/alt-2.jpg,images/Shrubs/Flowering/VI/VIbuMO_L.jpg,images/products/assian-beauty-berry/,,,Replace with commercially licensed images as needed.
pycoba,Bartlett pear,images/products/pycoba/main.jpg,images/products/pycoba/alt-1.jpg,images/products/pycoba/alt-2.jpg,images/Trees/PY/PYcoBA_L.jpg,images/products/pycoba/,,,Replace with commercially licensed images as needed.
