product_id,product_name,size,price,status,legacy_source_file
lainac,Acoma Crapemyrtle,Trade Gallon,49.95,verified_from_legacy_paypal,LAinAC.html
lainac,Acoma Crapemyrtle,Gallon,49.95,estimated_fallback_no_legacy_match,LAinAC.html
lainac,Acoma Crapemyrtle,3 Gallon,99.95,estimated_fallback_no_legacy_match,LAinAC.html
hyqual,Alice Hydrangea,Trade Gallon,44.95,verified_from_legacy_paypal,HYquAL.html
hyqual,Alice Hydrangea,Gallon,49.95,estimated_fallback_no_legacy_match,HYquAL.html
hyqual,Alice Hydrangea,3 Gallon,99.95,estimated_fallback_no_legacy_match,HYquAL.html
bxseam,American Boxwood,Trade Gallon,44.95,verified_from_legacy_paypal,BXseAM.html
bxseam,American Boxwood,Gallon,49.95,estimated_fallback_no_legacy_match,BXseAM.html
bxseam,American Boxwood,3 Gallon,49.95,verified_from_legacy_paypal,BXseAM.html
diviam,American Persimmon,Trade Gallon,44.95,estimated_fallback_no_legacy_match,DIviAM.html
diviam,American Persimmon,Gallon,43.95,verified_from_legacy_paypal,DIviAM.html
diviam,American Persimmon,3 Gallon,99.95,estimated_fallback_no_legacy_match,DIviAM.html
malian,ANN Magnolia,Trade Gallon,44.95,verified_from_legacy_paypal,MAliAN.html
malian,ANN Magnolia,Gallon,49.95,estimated_fallback_no_legacy_match,MAliAN.html
malian,ANN Magnolia,3 Gallon,99.95,estimated_fallback_no_legacy_match,MAliAN.html
hyabab,Annabelle Hydrangea,Trade Gallon,44.95,verified_from_legacy_paypal,HYabAB.html
hyabab,Annabelle Hydrangea,Gallon,49.95,estimated_fallback_no_legacy_match,HYabAB.html
hyabab,Annabelle Hydrangea,3 Gallon,99.95,estimated_fallback_no_legacy_match,HYabAB.html
hyabab-h-to-g,Annabelle Hydrangea,Trade Gallon,44.95,estimated_fallback_no_legacy_match,
hyabab-h-to-g,Annabelle Hydrangea,Gallon,49.95,estimated_fallback_no_legacy_match,
hyabab-h-to-g,Annabelle Hydrangea,3 Gallon,99.95,estimated_fallback_no_legacy_match,
prnuxx,Armking nectarine,Trade Gallon,44.95,estimated_fallback_no_legacy_match,PRnuXX.html
